FEAR DEAR
HAVE GRAVE
DELIGHT SPITE
MORE ABHOR
PERCEIVED DECEIVED
TEAR APPEAR
MIGHT SIGHT
END CONTEND
OLD TOLD
TELL WELL
TEND SPEND
DESIRE REQUIRE
COME DOOM
AMENDS DEPENDS
WOE KNOW
O'ERWORN MORN
CLOAK SMOKE
DOWN FROWN
AGE RAGE
WILFUL-SLOW GO
END DEPEND
COMMITTED FITTED
HEART ART
WERE NEAR
LUST TRUST
TONGUE WRONK
LIFE STRIFE
SKY MEMORY
BEFORE MORE
FLEET'ST SWEETS
TRUE ANEW
MINDS FINDS
WORD AFFORD
APPROVE LOVE
WELL HELL
MAINTAIN REIGN
STRONG LONG
LEAVE DECEIVE
BETRAY AWAY
STRONG BELONG
CHARACTER REGISTER
STRUMPETED DISABLED
TAKEN FORSAKEN
APPEAR WHERE
IS HIS
LEAVES SHEAVES
SPEED NEED
SCORE MORE
FREE THEE
TURNED BURNED
FEEDING NEEDING
LEND FRIEND
COMPILED FILED
AWAKE SAKE
LIE BY
SWEETNESS MEETNESS
RIDE HIDE
ASSURED CURED
WEEP KEEP
RED HEAD
HONOURING RUINING
HIDE PRIDE
SWEET MEET
BRAND HAND
PLIGHT NIGHT
PARTAKE SAKE
BENT DISCONTENT
UNBRED DEAD
USEST REFUSEST
WOE SO
CALL FALL
STORY GLORY
EXPENSE EXCELLENCE
VIEWEST RENEWEST
MIND BLIND
FORTH WORTH
CHEEK SEEK
ALONE ONE
DIE MEMORY
SPORT RESORT
MEMORY ETERNITY
STAY DECAY
NONE STONE
FACE DISGRACE
SPEND END
BLOOD GOOD
WRONG TONGUE
GONE MOAN
STRAIGHT BAIT
DECAY DAY
ROTTEN FORGOTTEN
NOW BOW
RITE MIGHT
ORNAMENTS RENTS
DAY RE-SURVEY
A-DOTING NOTHING
BE ME
SITS COMMITS
SHOW SO
SING BRING
DESPAIR FAIR
SO KNOW
ANY MANY
AWAY GAY
PROPHECIES EYES
HAND STAND
ALONE GONE
REDEEM ESTEEM
WEED PROCEED
DEEDS WEEDS
PAINTED ACQUAINTED
ARRAY GAY
POSSESSING RELEASING
ART PART
NEW VIEW
LIES SUBTLETIES
SIT IT
CLEAR WHERE
SO GROW
MIND BEHIND
VIEW DUE
GROUND FOUND
CHANGE STRANGE
UNPROVIDENT EVIDENT
RHYME TIME
SLAIN AGAIN
WORTH FORTH
PACE RACE
STELLED HELD
COSTS BOAST
REST BEST
RESPECT DEFECT
ENEMIES INJURIES
THERE DEAR
BAIL GAOL
WAR BAR
AGE EQUIPAGE
EYE DIE
SUBDUED RENEWED
EYED PRIDE
PASS WAS
LOOK TOOK
THIEF GRIEF
PROVE LOVE
REPORT SHORT
DEARLY NEARLY
WAY DECAY
QUALIFY LIE
HUE ANEW
LOVE PROVE
RANGED EXCHANGED
ROSE ENCLOSE
COME SUM
ACCIDENT DISCONTENT
SLAIN PAIN
REST OPPRESSED
NIGHT WHITE
INCREASE DECREASE
WELL TELL
SIGHT MIGHT
LOVE MOVE
ENMITY POSTERITY
ESTIMATE DETERMINATE
HILL STILL
FACE PLACE
ADVANCE IGNORANCE
TAKE SAKE
BROOD BLOOD
REIGNED STAINED
ASLEEP STEEP
DONE SUN
BETRAY MAY
ACCOUNT SURMOUNT
